id_siniestro,valor_real,valor_predicho,probabilidad_fatal
LC-2022-0517979,0,0,0.002441910122304809
LC-2019-0496495,0,0,0.059842942672590826
LC-2024-0010569,0,0,0.23019939170806272
LC-2024-0147333,0,0,0.003928154198442172
LC-2019-0573464,0,0,0.081060982658158
LC-2024-0655208,0,0,0.052321501431704415
LC-2024-0458477,0,0,0.12874308276804589
LC-2025-0253615,0,0,0.04921457070937546
LC-2024-0376398,0,0,0.004916538143314712
LC-2024-0708105,0,0,0.11525665027856098
LC-2024-0588497,0,0,0.08799476873828399
LC-2019-0437398,0,0,0.0028383764219659293
LC-2019-0510827,0,0,0.016522161029393453
LC-2021-0096631,0,0,0.02052673456217015
LC-2022-0597491,0,0,0.007697999599915677
LC-2024-0598051,0,0,0.06609521322406438
LC-2022-0337472,0,0,0.14054082296041562
LC-2019-0158379,0,0,0.13963348504162199
LC-2023-0441644,0,0,0.3483828881672808
LC-2023-0120916,0,0,0.3209553313373022
LC-2022-0431014,0,0,0.0031202930804240083
LC-2024-0747757,0,0,0.004621157337313808
LC-2024-0046629,0,0,0.29862309805051357
LC-2023-0606733,0,0,0.00347069507602672
LC-2021-0328795,0,0,0.3886718517803227
LC-2023-0606807,0,0,0.2026055009682825
LC-2025-0684694,0,0,0.004079065874106296
LC-2022-0571186,0,0,0.021544852709776588
LC-2020-0624264,0,0,0.10216066900813138
LC-2025-0861073,0,0,0.10310687263639974
LC-2021-0260435,0,0,0.018127304627042474
LC-2022-0671374,0,0,0.11005962424402531
LC-2025-0686962,0,0,0.3223439291073536
LC-2020-0218937,0,0,0.1579116316706478
LC-2022-0464249,0,0,0.08119375360809418
LC-2025-0391777,0,0,0.0076580718205164645
LC-2025-0779447,0,0,0.02298860210489926
LC-2025-0904960,0,1,0.01698342790575901
LC-2019-0587276,0,0,0.007704084770918955
LC-2023-0597179,0,0,0.0002756423486435253
LC-2020-0492963,0,0,0.03459732816038022
LC-2020-0474976,0,1,0.6205232474844666
LC-2022-0634715,0,0,0.003998401025396205
LC-2023-0295166,0,0,0.3068665976358779
LC-2020-0505483,0,0,0.06173635869333946
LC-2025-0840561,0,1,0.01631262984665181
LC-2022-0439930,0,0,0.060959546406178164
LC-2020-0061625,0,0,0.1059479877548741
LC-2020-0586865,0,0,0.0049223245066282026
LC-2024-0376075,0,0,0.024536140500542297
LC-2023-0322803,0,0,0.003605672319959865
LC-2021-0467503,0,0,0.031564850105297464
LC-2019-0057033,0,0,0.07828950475257362
LC-2022-0185725,0,0,0.021502606838813446
LC-2025-0584159,0,0,0.01845592579359212
LC-2021-0540807,0,0,0.01854011821353526
LC-2022-0157289,0,0,0.2816695854791892
LC-2023-0409011,0,0,0.28066636574239184
LC-2022-0644998,0,0,0.003486987906901801
LC-2020-0646259,0,0,0.0028530508856649955
LC-2023-0251948,0,0,0.0004963634299968018
LC-2019-0359633,0,0,0.049665636725077615
LC-2024-0209303,0,0,0.0009140828300562965
LC-2022-0255410,0,0,0.1477560668454475
LC-2022-0512086,0,0,0.3055704397171462
LC-2025-0932818,0,0,0.25323217362357836
LC-2024-0618193,0,0,0.33702599768155084
LC-2022-0035359,0,0,0.016126567400138424
LC-2019-0341615,0,0,0.026759606014872813
LC-2022-0468868,0,0,0.05663794481415391
LC-2024-0707425,0,1,0.00830078069486034
LC-2022-0350792,0,0,0.6304254284734193
LC-2022-0432166,0,0,0.03335952348058633
LC-2021-0603941,0,0,0.1738494331893083
LC-2023-0728457,0,0,0.1271702202081823
LC-2019-0109241,0,0,0.08414354206946895
LC-2023-0477420,0,0,0.001081703704790743
LC-2022-0495376,0,0,0.028337481136405104
LC-2025-0677999,0,0,0.2779164818062083
LC-2021-0394229,0,0,0.0004963634299968018
LC-2025-0057602,0,0,0.161317154641115
LC-2021-0267010,0,0,0.005707485831479826
LC-2023-0662725,0,0,0.01770762686172148
LC-2020-0635234,0,0,0.001588765006391888
LC-2023-0601326,0,0,0.10949778526171977
LC-2023-0101932,0,0,0.15676643638396148
LC-2024-0307129,0,1,0.003821030205028229
