fase,experimento,modelo,semilla,accuracy,precision,recall,f1_score,es_modelo_final
Fase 4,Modelado inicial,Dummy Classifier,42,0.9895168641750228,0.0,0.0,0.0,0
Fase 4,Modelado inicial,Logistic Regression,42,0.8640230932847159,0.05639097744360902,0.7608695652173914,0.105,0
Fase 4,Modelado inicial,Decision Tree,42,0.9809328471589183,0.13071895424836602,0.14492753623188406,0.13745704467353953,0
Fase 4,Modelado inicial,Random Forest,42,0.9895168641750228,0.0,0.0,0.0,0
Fase 4,Optimización,Logistic Regression Optimizada,42,0.8640230932847159,0.05639097744360902,0.7608695652173914,0.105,0
Fase 4,Optimización,Decision Tree Optimizado,42,0.9672591917350349,0.10512129380053908,0.2826086956521739,0.15324165029469547,0
Fase 4,Optimización,Random Forest Optimizado,42,0.9832117897295655,0.19708029197080293,0.1956521739130435,0.19636363636363635,1
